[03/09/2021 23:36:42 - INFO] Discord Presence activated
[03/09/2021 23:36:42 - INFO] Creating discord-rpc client
[03/09/2021 23:36:42 - INFO] Successfully connected to Discord
[03/09/2021 23:36:42 - DEBUG] Loading git extension
[03/09/2021 23:40:00 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:07 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:09 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:12 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:19 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:21 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:23 - TRACE] VSCode language id: javascript
[03/09/2021 23:41:25 - TRACE] VSCode language id: javascript
[03/09/2021 23:42:50 - TRACE] VSCode language id: javascript
[03/09/2021 23:42:52 - TRACE] VSCode language id: javascript
[03/09/2021 23:42:54 - TRACE] VSCode language id: javascript
[03/09/2021 23:42:56 - TRACE] VSCode language id: javascript
[03/09/2021 23:42:58 - TRACE] VSCode language id: javascript
[03/09/2021 23:43:01 - TRACE] VSCode language id: javascript
[03/09/2021 23:43:03 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:02 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:04 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:06 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:25 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:27 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:29 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:30 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:32 - TRACE] VSCode language id: javascript
[03/09/2021 23:44:34 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:16 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:18 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:20 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:22 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:44 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:46 - TRACE] VSCode language id: javascript
[03/09/2021 23:45:48 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:17 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:19 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:22 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:24 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:24 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:26 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:28 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:29 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:31 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:34 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:37 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:38 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:40 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:42 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:44 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:46 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:48 - TRACE] VSCode language id: javascript
[03/09/2021 23:46:50 - TRACE] VSCode language id: javascript
[03/09/2021 23:47:13 - TRACE] VSCode language id: javascript
