[10/09/2021 15:49:31 - INFO] Discord Presence activated
[10/09/2021 15:49:31 - INFO] Creating discord-rpc client
[10/09/2021 15:49:31 - INFO] Successfully connected to Discord
[10/09/2021 15:49:31 - DEBUG] Loading git extension
[10/09/2021 15:49:31 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:01 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:03 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:05 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:07 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:15 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:17 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:40 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:42 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:45 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:47 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:49 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:51 - TRACE] VSCode language id: markdown
[10/09/2021 15:50:59 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:01 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:03 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:05 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:07 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:09 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:11 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:13 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:15 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:17 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:19 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:21 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:24 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:26 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:28 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:30 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:32 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:45 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:47 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:49 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:51 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:53 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:54 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:56 - TRACE] VSCode language id: markdown
[10/09/2021 15:51:58 - TRACE] VSCode language id: markdown
