[07/09/2021 22:31:26 - INFO] Discord Presence activated
[07/09/2021 22:31:26 - INFO] Creating discord-rpc client
[07/09/2021 22:31:27 - INFO] Successfully connected to Discord
[07/09/2021 22:31:27 - DEBUG] Loading git extension
[07/09/2021 22:39:43 - TRACE] VSCode language id: go
[07/09/2021 22:39:46 - TRACE] VSCode language id: go
[07/09/2021 22:39:55 - TRACE] VSCode language id: Log
[07/09/2021 22:39:57 - TRACE] VSCode language id: Log
[07/09/2021 22:40:00 - TRACE] VSCode language id: Log
[07/09/2021 22:40:03 - TRACE] VSCode language id: Log
[07/09/2021 22:40:05 - TRACE] VSCode language id: Log
[07/09/2021 22:40:08 - TRACE] VSCode language id: Log
[07/09/2021 22:40:10 - TRACE] VSCode language id: Log
[07/09/2021 22:40:17 - TRACE] VSCode language id: Log
[07/09/2021 22:40:22 - TRACE] VSCode language id: Log
[07/09/2021 22:40:27 - TRACE] VSCode language id: Log
[07/09/2021 22:40:36 - TRACE] VSCode language id: Log
[07/09/2021 22:43:54 - TRACE] VSCode language id: go
[07/09/2021 22:43:54 - TRACE] VSCode language id: Log
[07/09/2021 22:43:54 - TRACE] VSCode language id: Log
[07/09/2021 22:43:56 - TRACE] VSCode language id: Log
[07/09/2021 22:43:56 - TRACE] VSCode language id: Log
[07/09/2021 22:43:58 - TRACE] VSCode language id: Log
[07/09/2021 22:44:00 - TRACE] VSCode language id: go
[07/09/2021 22:44:00 - TRACE] VSCode language id: go
[07/09/2021 22:44:15 - TRACE] VSCode language id: go
[07/09/2021 22:44:17 - TRACE] VSCode language id: go
[07/09/2021 22:44:20 - TRACE] VSCode language id: go
[07/09/2021 22:44:22 - TRACE] VSCode language id: go
[07/09/2021 22:45:26 - TRACE] VSCode language id: go
[07/09/2021 22:45:28 - TRACE] VSCode language id: go
[07/09/2021 22:53:11 - TRACE] VSCode language id: Log
[07/09/2021 22:53:18 - TRACE] VSCode language id: go
[07/09/2021 20:54:53 - TRACE] VSCode language id: go
[07/09/2021 20:54:55 - TRACE] VSCode language id: go
[07/09/2021 20:54:57 - TRACE] VSCode language id: go
[07/09/2021 20:55:00 - TRACE] VSCode language id: go
[07/09/2021 20:55:02 - TRACE] VSCode language id: go
[07/09/2021 20:55:06 - TRACE] VSCode language id: go
[07/09/2021 20:55:08 - TRACE] VSCode language id: go
[07/09/2021 20:55:11 - TRACE] VSCode language id: go
[07/09/2021 20:55:13 - TRACE] VSCode language id: go
[07/09/2021 20:55:39 - TRACE] VSCode language id: go
[07/09/2021 20:55:41 - TRACE] VSCode language id: go
[07/09/2021 20:55:43 - TRACE] VSCode language id: go
[07/09/2021 20:55:45 - TRACE] VSCode language id: go
[07/09/2021 20:55:47 - TRACE] VSCode language id: go
[07/09/2021 20:55:49 - TRACE] VSCode language id: go
[07/09/2021 20:55:51 - TRACE] VSCode language id: go
[07/09/2021 20:55:53 - TRACE] VSCode language id: go
[07/09/2021 20:55:55 - TRACE] VSCode language id: go
[07/09/2021 20:55:57 - TRACE] VSCode language id: go
[07/09/2021 21:07:15 - TRACE] VSCode language id: go
[07/09/2021 21:07:17 - TRACE] VSCode language id: go
[07/09/2021 21:12:06 - TRACE] VSCode language id: go
[07/09/2021 21:12:08 - TRACE] VSCode language id: go
[07/09/2021 21:12:10 - TRACE] VSCode language id: go
[07/09/2021 21:12:13 - TRACE] VSCode language id: go
[07/09/2021 21:12:15 - TRACE] VSCode language id: go
[07/09/2021 21:12:17 - TRACE] VSCode language id: go
[07/09/2021 21:12:19 - TRACE] VSCode language id: go
[07/09/2021 21:13:43 - TRACE] VSCode language id: go
[07/09/2021 21:13:45 - TRACE] VSCode language id: go
[07/09/2021 21:13:48 - TRACE] VSCode language id: go
[07/09/2021 21:13:50 - TRACE] VSCode language id: go
[07/09/2021 21:13:52 - TRACE] VSCode language id: go
[07/09/2021 21:13:54 - TRACE] VSCode language id: go
[07/09/2021 21:13:57 - TRACE] VSCode language id: go
[07/09/2021 21:13:59 - TRACE] VSCode language id: go
[07/09/2021 21:14:01 - TRACE] VSCode language id: go
[07/09/2021 21:14:02 - TRACE] VSCode language id: go
[07/09/2021 21:14:04 - TRACE] VSCode language id: go
[07/09/2021 21:14:17 - TRACE] VSCode language id: go
[07/09/2021 21:14:19 - TRACE] VSCode language id: go
[07/09/2021 21:17:53 - TRACE] VSCode language id: go
[07/09/2021 21:17:55 - TRACE] VSCode language id: go
[07/09/2021 21:18:28 - TRACE] VSCode language id: go
[07/09/2021 21:18:30 - TRACE] VSCode language id: go
[07/09/2021 21:18:59 - TRACE] VSCode language id: go
[07/09/2021 21:19:01 - TRACE] VSCode language id: go
[07/09/2021 21:19:05 - TRACE] VSCode language id: go
[07/09/2021 21:19:07 - TRACE] VSCode language id: go
[07/09/2021 21:19:09 - TRACE] VSCode language id: go
[07/09/2021 21:19:10 - TRACE] VSCode language id: go
[07/09/2021 21:19:12 - TRACE] VSCode language id: go
[07/09/2021 21:19:14 - TRACE] VSCode language id: go
[07/09/2021 21:20:31 - TRACE] VSCode language id: go
[07/09/2021 21:20:33 - TRACE] VSCode language id: go
[07/09/2021 21:20:35 - TRACE] VSCode language id: go
[07/09/2021 21:20:37 - TRACE] VSCode language id: go
[07/09/2021 21:20:40 - TRACE] VSCode language id: go
[07/09/2021 21:21:01 - TRACE] VSCode language id: go
[07/09/2021 21:21:03 - TRACE] VSCode language id: go
[07/09/2021 21:21:09 - TRACE] VSCode language id: go
[07/09/2021 21:21:11 - TRACE] VSCode language id: go
[07/09/2021 21:21:19 - TRACE] VSCode language id: go
[07/09/2021 21:21:21 - TRACE] VSCode language id: go
[07/09/2021 21:21:45 - TRACE] VSCode language id: go
[07/09/2021 21:21:47 - TRACE] VSCode language id: go
[07/09/2021 21:25:40 - TRACE] VSCode language id: go
[07/09/2021 21:25:42 - TRACE] VSCode language id: go
[07/09/2021 21:25:45 - TRACE] VSCode language id: go
[07/09/2021 21:25:47 - TRACE] VSCode language id: go
[07/09/2021 21:25:49 - TRACE] VSCode language id: go
[07/09/2021 21:25:51 - TRACE] VSCode language id: go
[07/09/2021 21:25:52 - TRACE] VSCode language id: go
[07/09/2021 21:25:54 - TRACE] VSCode language id: go
[07/09/2021 21:25:57 - TRACE] VSCode language id: go
[07/09/2021 21:25:59 - TRACE] VSCode language id: go
[07/09/2021 21:26:02 - TRACE] VSCode language id: go
[07/09/2021 21:26:04 - TRACE] VSCode language id: go
[07/09/2021 21:26:06 - TRACE] VSCode language id: go
[07/09/2021 21:27:54 - TRACE] VSCode language id: go
[07/09/2021 21:27:56 - TRACE] VSCode language id: go
[07/09/2021 21:29:38 - TRACE] VSCode language id: go
[07/09/2021 21:36:48 - TRACE] VSCode language id: go
[07/09/2021 21:36:50 - TRACE] VSCode language id: go
[07/09/2021 21:36:52 - TRACE] VSCode language id: go
[07/09/2021 21:36:56 - TRACE] VSCode language id: go
[07/09/2021 21:36:58 - TRACE] VSCode language id: go
[07/09/2021 21:37:00 - TRACE] VSCode language id: go
[07/09/2021 21:37:02 - TRACE] VSCode language id: go
[07/09/2021 21:37:04 - TRACE] VSCode language id: go
[07/09/2021 21:37:07 - TRACE] VSCode language id: go
[07/09/2021 21:37:09 - TRACE] VSCode language id: go
[07/09/2021 21:37:11 - TRACE] VSCode language id: go
[07/09/2021 21:37:13 - TRACE] VSCode language id: go
[07/09/2021 21:37:17 - TRACE] VSCode language id: go
[07/09/2021 21:37:19 - TRACE] VSCode language id: go
[07/09/2021 21:37:22 - TRACE] VSCode language id: go
[07/09/2021 21:37:25 - TRACE] VSCode language id: go
[07/09/2021 21:37:27 - TRACE] VSCode language id: go
[07/09/2021 21:37:30 - TRACE] VSCode language id: go
[07/09/2021 21:37:31 - TRACE] VSCode language id: go
[07/09/2021 21:37:33 - TRACE] VSCode language id: go
[07/09/2021 21:37:36 - TRACE] VSCode language id: go
[07/09/2021 21:37:38 - TRACE] VSCode language id: go
[07/09/2021 21:37:40 - TRACE] VSCode language id: go
[07/09/2021 21:37:41 - TRACE] VSCode language id: go
[07/09/2021 21:37:43 - TRACE] VSCode language id: go
[07/09/2021 21:37:46 - TRACE] VSCode language id: go
[07/09/2021 21:37:48 - TRACE] VSCode language id: go
[07/09/2021 21:37:50 - TRACE] VSCode language id: go
[07/09/2021 21:37:52 - TRACE] VSCode language id: go
[07/09/2021 21:37:54 - TRACE] VSCode language id: go
[07/09/2021 21:37:56 - TRACE] VSCode language id: go
[07/09/2021 21:37:57 - TRACE] VSCode language id: go
[07/09/2021 21:37:59 - TRACE] VSCode language id: go
[07/09/2021 21:38:01 - TRACE] VSCode language id: go
[07/09/2021 21:38:03 - TRACE] VSCode language id: go
[07/09/2021 21:38:20 - TRACE] VSCode language id: go
[07/09/2021 21:38:22 - TRACE] VSCode language id: go
