[09/09/2021 21:50:19 - INFO] Discord Presence activated
[09/09/2021 21:50:19 - INFO] Creating discord-rpc client
[09/09/2021 21:50:20 - INFO] Successfully connected to Discord
[09/09/2021 21:50:20 - DEBUG] Loading git extension
[09/09/2021 21:50:20 - TRACE] VSCode language id: markdown
[09/09/2021 21:51:01 - TRACE] VSCode language id: markdown
[09/09/2021 21:51:03 - TRACE] VSCode language id: markdown
[09/09/2021 21:51:32 - TRACE] VSCode language id: plaintext
[09/09/2021 21:53:27 - TRACE] VSCode language id: markdown
[09/09/2021 21:54:02 - TRACE] VSCode language id: markdown
[09/09/2021 21:54:04 - TRACE] VSCode language id: markdown
[09/09/2021 21:54:06 - TRACE] VSCode language id: markdown
[09/09/2021 21:54:08 - TRACE] VSCode language id: markdown
[09/09/2021 21:54:11 - TRACE] VSCode language id: markdown
[09/09/2021 21:55:57 - TRACE] VSCode language id: markdown
[09/09/2021 21:55:59 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:11 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:13 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:16 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:18 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:26 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:28 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:33 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:35 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:37 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:42 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:44 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:50 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:52 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:56 - TRACE] VSCode language id: markdown
[09/09/2021 21:56:58 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:07 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:09 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:11 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:16 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:18 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:21 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:23 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:26 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:28 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:48 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:50 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:52 - TRACE] VSCode language id: markdown
[09/09/2021 21:57:54 - TRACE] VSCode language id: markdown
[09/09/2021 21:58:03 - TRACE] VSCode language id: markdown
[09/09/2021 21:58:05 - TRACE] VSCode language id: markdown
[09/09/2021 21:58:06 - TRACE] VSCode language id: markdown
[09/09/2021 21:58:08 - TRACE] VSCode language id: markdown
[09/09/2021 21:58:11 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:14 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:16 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:18 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:20 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:22 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:26 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:28 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:49 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:51 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:53 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:56 - TRACE] VSCode language id: markdown
[09/09/2021 21:59:58 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:25 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:27 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:29 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:31 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:34 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:36 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:38 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:40 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:42 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:43 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:45 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:49 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:51 - TRACE] VSCode language id: markdown
[09/09/2021 22:00:59 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:03 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:05 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:12 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:14 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:17 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:18 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:20 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:23 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:25 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:27 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:29 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:31 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:40 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:42 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:43 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:45 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:48 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:50 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:52 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:54 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:56 - TRACE] VSCode language id: markdown
[09/09/2021 22:01:58 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:00 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:02 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:04 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:16 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:18 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:20 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:22 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:24 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:27 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:33 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:42 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:44 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:46 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:48 - TRACE] VSCode language id: markdown
[09/09/2021 22:02:59 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:05 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:07 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:09 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:22 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:24 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:26 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:29 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:30 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:32 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:41 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:43 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:45 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:50 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:52 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:55 - TRACE] VSCode language id: markdown
[09/09/2021 22:03:58 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:00 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:08 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:10 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:12 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:15 - TRACE] VSCode language id: markdown
[09/09/2021 22:04:17 - TRACE] VSCode language id: markdown
[09/09/2021 22:06:52 - TRACE] VSCode language id: markdown
[09/09/2021 22:06:54 - TRACE] VSCode language id: markdown
[09/09/2021 22:06:59 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:06 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:08 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:11 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:13 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:22 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:24 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:28 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:30 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:33 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:33 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:53 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:55 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:57 - TRACE] VSCode language id: markdown
[09/09/2021 22:07:59 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:03 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:05 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:07 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:10 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:12 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:14 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:14 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:16 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:23 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:25 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:44 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:46 - TRACE] VSCode language id: markdown
[09/09/2021 22:08:48 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:09 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:11 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:13 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:15 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:17 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:19 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:21 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:48 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:50 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:56 - TRACE] VSCode language id: markdown
[09/09/2021 22:09:58 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:03 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:06 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:08 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:10 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:12 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:14 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:16 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:18 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:20 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:22 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:24 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:26 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:28 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:30 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:32 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:47 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:49 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:52 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:54 - TRACE] VSCode language id: markdown
[09/09/2021 22:10:56 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:01 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:03 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:08 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:10 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:42 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:44 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:46 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:48 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:50 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:54 - TRACE] VSCode language id: markdown
[09/09/2021 22:11:56 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:15 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:17 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:20 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:21 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:23 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:26 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:28 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:30 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:33 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:35 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:37 - TRACE] VSCode language id: markdown
[09/09/2021 22:12:39 - TRACE] VSCode language id: markdown
[09/09/2021 22:16:56 - TRACE] VSCode language id: markdown
[09/09/2021 22:16:58 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:03 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:05 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:09 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:11 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:13 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:13 - TRACE] VSCode language id: markdown
[09/09/2021 22:17:15 - TRACE] VSCode language id: markdown
